"variable","varsymbol","pricesymbol"
"49","exports of services-3800064-current prices","XS!",""
"50","imports of goods-3800064-current prices","MG!",""
"51","imports of services-3800064-current prices","MS!",""
"52","population estimates-0510005","POP",""
"53","labour force-15 years and over-2820087","",""
"54","unemployment-15 years and over-2820087","",""
"55","unemployment rate-15 years and over-2820087","",""
"56","participation rate-15 years and over-2820087","",""
"57","population-15 to 64 years-2820001","",""
"58","unemployment rate-15 to 64 years-2820087","",""
"59","couriers and messengers services price index-3290053","",""
"60","consumer price index-all-items-3260020","CPI",""
"61","consumer price index-all-items excluding food and energy-3260020","CPICORE",""
"62","consumer price index-all-items excluding energy-3260020","CPIX",""
"63","consumer price index-energy-3260020","CPIE",""
"64","rev-general governments revenue-general governments-3800080","",""
"65","rev-taxes on incomes-general governments-3800080","",""
"66","rev-tax-from households-general governments-3800080","",""
"67","rev-income taxes-general governments-3800080","",""
"68","rev-wealth transfer taxes-general governments-3800080","",""
"69","rev-from corporations and government business enterprises-general governments-3800080","",""
"70","rev-from non-residents (withholding taxes)-general governments-3800080","",""
"71","rev-contributions to social insurance plans-general governments-3800080","",""
"72","rev-taxes on production and imports-general governments-3800080","",""
"73","rev-taxes on production-general governments-3800080","",""
"74","rev-taxes on products-general governments-3800080","",""
"75","rev-other current transfers from households-general governments-3800080","",""
"76","rev-current transfers from non-profit institutions serving households-general governments-3800080","",""
"77","rev-other current transfers from non-residents-general governments-3800080","",""
"78","rev-investment income-general governments-3800080","",""
"79","rev-sales of goods and services-general governments-3800080","",""
"80","rev-capital transfers-general governments-3800080","",""
"81","rev-cap transfer-from households-general governments-3800080","",""
"82","rev-cap transfer-from non-profit institutions serving households-general governments-3800080","",""
"83","rev-cap transfer-from business-general governments-3800080","",""
"84","rev-cap transfer-from non-residents-general governments-3800080","",""
"85","exp-general governments expenditure-general governments-3800080","",""
"86","exp-final expenditure on goods and services-general governments-3800080","",""
"87","exp-current transfers to households-general governments-3800080","",""
"88","exp-current transfers to non-profit institutions serving households-general governments-3800080","",""
"89","exp-subsidies-general governments-3800080","",""
"90","exp-subsidies on products and imports-general governments-3800080","",""
"91","exp-subsidies on production-general governments-3800080","",""
"92","exp-current transfers to non-residents-general governments-3800080","",""
"93","exp-capital transfers-general governments-3800080","",""
"94","exp-cap transfer-to households-general governments-3800080","",""
"95","exp-cap transfer-to non-profit institutions serving households-general governments-3800080","",""
"96","exp-cap transfer-to business-general governments-3800080","",""
"97","exp-cap transfer-to non-residents-general governments-3800080","",""
"98","exp-interest on debt-general governments-3800080","",""
"99","exp-general governments surplus or deficit-general governments-3800080","",""
"100","exp-plus: consumption of fixed capital-general governments-3800080","",""
"101","exp-less: non-financial capital acquisition-general governments-3800080","",""
"102","exp-fixed capital-general governments-3800080","",""
"103","exp-new capital-general governments-3800080","",""
"104","exp-existing capital-general governments-3800080","",""
"105","exp-inventories-general governments-3800080","",""
"106","exp-equals: net lending or net borrowing-general governments-3800080","",""
"107","rev-general governments revenue-federal general government-3800080","",""
"108","rev-taxes on incomes-federal general government-3800080","",""
"109","rev-tax-from households-federal general government-3800080","",""
"110","rev-income taxes-federal general government-3800080","",""
"111","rev-wealth transfer taxes-federal general government-3800080","",""
"112","rev-from corporations and government business enterprises-federal general government-3800080","",""
"113","rev-from non-residents (withholding taxes)-federal general government-3800080","",""
"114","rev-contributions to social insurance plans-federal general government-3800080","",""
"115","rev-of which: employer and employee contributions to employment insurance-federal general government-3800080","",""
"116","rev-taxes on production and imports-federal general government-3800080","",""
"117","rev-taxes on production-federal general government-3800080","",""
"118","rev-other federal taxes on production-federal general government-3800080","",""
"119","rev-taxes on products-federal general government-3800080","",""
"120","rev-custom import duties-federal general government-3800080","",""
"121","rev-excise duties-federal general government-3800080","",""
"122","rev-excise taxes-federal general government-3800080","",""
"123","rev-manufacturers' sales tax-federal general government-3800080","",""
"124","rev-gasoline and motive fuel taxes-federal general government-3800080","",""
"125","rev-oil export tax-federal general government-3800080","",""
"126","rev-natural gas and gas liquids tax-federal general government-3800080","",""
"127","rev-old age security fund levy-federal general government-3800080","",""
"128","rev-other excise taxes-federal general government-3800080","",""
"129","rev-goods and services tax (gst)-federal general government-3800080","",""
"130","rev-air travellers security charge-federal general government-3800080","",""
"131","rev-federal-provincial lottery agreement-federal general government-3800080","",""
"132","rev-parimutuel supervision-federal general government-3800080","",""
"133","rev-western grain stabilization levy-federal general government-3800080","",""
"134","rev-canadian ownership charge-federal general government-3800080","",""
"135","rev-petroleum compensation charge-federal general government-3800080","",""
"136","rev-other federal taxes on products-federal general government-3800080","",""
"137","rev-other current transfers from households-federal general government-3800080","",""
"138","rev-current transfers from non-profit institutions serving households-federal general government-3800080","",""
"139","rev-current transfers from general governments-federal general government-3800080","",""
"140","rev-from provincial and territorial general governments-federal general government-3800080","",""
"141","rev-from provincial administration-federal general government-3800080","",""
"142","rev-from provincial education-federal general government-3800080","",""
"143","rev-from provincial health and social services-federal general government-3800080","",""
"144","rev-from local general governments-federal general government-3800080","",""
"145","rev-from aboriginal general governments-federal general government-3800080","",""
"146","rev-other current transfers from non-residents-federal general government-3800080","",""
"147","rev-investment income-federal general government-3800080","",""
"148","rev-royalties-federal general government-3800080","",""
"149","rev-interest and other investment income-federal general government-3800080","",""
"150","rev-remitted profits of government business enterprises-federal general government-3800080","",""
"151","rev-sales of goods and services-federal general government-3800080","",""
"152","rev-capital transfers-federal general government-3800080","",""
"153","rev-cap transfer-from households-federal general government-3800080","",""
"154","rev-cap transfer-from non-profit institutions serving households-federal general government-3800080","",""
"155","rev-cap transfer-from business-federal general government-3800080","",""
"156","rev-cap transfer-from general governments-federal general government-3800080","",""
"157","rev-cap transfer-from provincial and territorial general governments-federal general government-3800080","",""
"158","rev-cap transfer-from provincial administration-federal general government-3800080","",""
"159","rev-cap transfer-from provincial education-federal general government-3800080","",""
"160","rev-cap transfer-from provincial health and social services-federal general government-3800080","",""
"161","rev-cap transfer-from local general governments-federal general government-3800080","",""
"162","rev-cap transfer-from aboriginal general governments-federal general government-3800080","",""
"163","rev-cap transfer-from non-residents-federal general government-3800080","",""
"164","exp-general governments expenditure-federal general government-3800080","",""
"165","exp-final expenditure on goods and services-federal general government-3800080","",""
"166","exp-non-defence-federal general government-3800080","",""
"167","exp-defence-federal general government-3800080","",""
"168","exp-current transfers to households-federal general government-3800080","",""
"169","exp-family and youth allowances-federal general government-3800080","",""
"170","exp-child tax benefit-federal general government-3800080","",""
"171","exp-universal childcare benefit-federal general government-3800080","",""
"172","exp-child tax credit-federal general government-3800080","",""
"173","exp-employment insurance benefits-federal general government-3800080","",""
"174","exp-old age security-federal general government-3800080","",""
"175","exp-goods and services tax credit-federal general government-3800080","",""
"176","exp-adult occupational training-federal general government-3800080","",""
"177","exp-research and scholarship grants-federal general government-3800080","",""
"178","exp-other federal transfers to households-federal general government-3800080","",""
"179","exp-current transfers to non-profit institutions serving households-federal general government-3800080","",""
"180","exp-subsidies-federal general government-3800080","",""
"181","exp-subsidies on products and imports-federal general government-3800080","",""
"182","exp-agriculture-federal general government-3800080","",""
"183","exp-non-agriculture-federal general government-3800080","",""
"184","exp-subsidies on production-federal general government-3800080","",""
"185","exp-subsidies on production-agriculture-federal general government-3800080","",""
"186","exp-subsidies on production-non-agriculture-federal general government-3800080","",""
"187","exp-current transfers to general governments-federal general government-3800080","",""
"188","exp-to provincial and territorial general governments-federal general government-3800080","",""
"189","exp-to provincial and territorial administration-federal general government-3800080","",""
"190","exp-taxation agreements-federal general government-3800080","",""
"191","exp-post-secondary education-federal general government-3800080","",""
"192","exp-hospital insurance-federal general government-3800080","",""
"193","exp-medicare-federal general government-3800080","",""
"194","exp-extended health care-federal general government-3800080","",""
"195","exp-canada assistance plan-federal general government-3800080","",""
"196","exp-canada health and social transfer-federal general government-3800080","",""
"197","exp-canada health transfer-federal general government-3800080","",""
"198","exp-canada social transfer-federal general government-3800080","",""
"199","exp-territorial governments-federal general government-3800080","",""
"200","exp-official languages-federal general government-3800080","",""
"201","exp-regional development-federal general government-3800080","",""
"202","exp-other transfers to provincial and territorial general governments-federal general government-3800080","",""
"203","exp-to provincial and territorial education-federal general government-3800080","",""
"204","exp-to local general governments-federal general government-3800080","",""
"205","exp-to aboriginal general governments-federal general government-3800080","",""
"206","exp-current transfers to non-residents-federal general government-3800080","",""
"207","exp-contributions and aid-federal general government-3800080","",""
"208","exp-pension benefits and other-federal general government-3800080","",""
"209","exp-capital transfers-federal general government-3800080","",""
"210","exp-cap transfer-to households-federal general government-3800080","",""
"211","exp-cap transfer-to non-profit institutions serving households-federal general government-3800080","",""
"212","exp-cap transfer-to business-federal general government-3800080","",""
"213","exp-cap transfer-to general governments-federal general government-3800080","",""
"214","exp-cap transfer-to provincial and territorial general governments-federal general government-3800080","",""
"215","exp-cap transfer-to provincial administration-federal general government-3800080","",""
"216","exp-cap transfer-to provincial education-federal general government-3800080","",""
"217","exp-cap transfer-to provincial health and social services-federal general government-3800080","",""
"218","exp-cap transfer-to local general governments-federal general government-3800080","",""
"219","exp-cap transfer-to aboriginal general governments-federal general government-3800080","",""
"220","exp-cap transfer-to non-residents-federal general government-3800080","",""
"221","exp-interest on debt-federal general government-3800080","",""
"222","exp-general governments surplus or deficit-federal general government-3800080","",""
"223","exp-plus: consumption of fixed capital-federal general government-3800080","",""
"224","exp-less: non-financial capital acquisition-federal general government-3800080","",""
"225","exp-fixed capital-federal general government-3800080","",""
"226","exp-new capital-federal general government-3800080","",""
"227","exp-existing capital-federal general government-3800080","",""
"228","exp-inventories-federal general government-3800080","",""
"229","exp-equals: net lending or net borrowing-federal general government-3800080","",""
"230","rev-general governments revenue-provincial and territorial general governments-3800080","",""
"231","rev-taxes on incomes-provincial and territorial general governments-3800080","",""
"232","rev-tax-from households-provincial and territorial general governments-3800080","",""
"233","rev-income taxes-provincial and territorial general governments-3800080","",""
"234","rev-wealth transfer taxes-provincial and territorial general governments-3800080","",""
"235","rev-from corporations and government business enterprises-provincial and territorial general governments-3800080","",""
"236","rev-contributions to social insurance plans-provincial and territorial general governments-3800080","",""
"237","rev-taxes on production and imports-provincial and territorial general governments-3800080","",""
"238","rev-taxes on production-provincial and territorial general governments-3800080","",""
"239","rev-taxes on products-provincial and territorial general governments-3800080","",""
"240","rev-other current transfers from households-provincial and territorial general governments-3800080","",""
"241","rev-current transfers from non-profit institutions serving households-provincial and territorial general governments-3800080","",""
"242","rev-current transfers from general governments-provincial and territorial general governments-3800080","",""
"243","rev-from federal general government-provincial and territorial general governments-3800080","",""
"244","rev-from local general governments-provincial and territorial general governments-3800080","",""
"245","rev-from aboriginal general governments-provincial and territorial general governments-3800080","",""
"246","rev-investment income-provincial and territorial general governments-3800080","",""
"247","rev-sales of goods and services-provincial and territorial general governments-3800080","",""
"248","rev-capital transfers-provincial and territorial general governments-3800080","",""
"249","rev-cap transfer-from households-provincial and territorial general governments-3800080","",""
"250","rev-cap transfer-from non-profit institutions serving households-provincial and territorial general governments-3800080","",""
"251","rev-cap transfer-from business-provincial and territorial general governments-3800080","",""
"252","rev-cap transfer-from general governments-provincial and territorial general governments-3800080","",""
"253","rev-cap transfer-from federal general government-provincial and territorial general governments-3800080","",""
"254","rev-cap transfer-from local general governments-provincial and territorial general governments-3800080","",""
"255","rev-cap transfer-from aboriginal general governments-provincial and territorial general governments-3800080","",""
"256","exp-general governments expenditure-provincial and territorial general governments-3800080","",""
"257","exp-final expenditure on goods and services-provincial and territorial general governments-3800080","",""
"258","exp-current transfers to households-provincial and territorial general governments-3800080","",""
"259","exp-current transfers to non-profit institutions serving households-provincial and territorial general governments-3800080","",""
"260","exp-subsidies-provincial and territorial general governments-3800080","",""
"261","exp-subsidies on products and imports-provincial and territorial general governments-3800080","",""
"262","exp-subsidies on production-provincial and territorial general governments-3800080","",""
"263","exp-current transfers to general governments-provincial and territorial general governments-3800080","",""
"264","exp-to federal general government-provincial and territorial general governments-3800080","",""
"265","exp-to local general governments-provincial and territorial general governments-3800080","",""
"266","exp-to aboriginal general governments-provincial and territorial general governments-3800080","",""
"267","exp-current transfers to non-residents-provincial and territorial general governments-3800080","",""
"268","exp-capital transfers-provincial and territorial general governments-3800080","",""
"269","exp-cap transfer-to households-provincial and territorial general governments-3800080","",""
"270","exp-cap transfer-to non-profit institutions serving households-provincial and territorial general governments-3800080","",""
"271","exp-cap transfer-to business-provincial and territorial general governments-3800080","",""
"272","exp-cap transfer-to general governments-provincial and territorial general governments-3800080","",""
"273","exp-cap transfer-to federal general government-provincial and territorial general governments-3800080","",""
"274","exp-cap transfer-to local general governments-provincial and territorial general governments-3800080","",""
"275","exp-cap transfer-to aboriginal general governments-provincial and territorial general governments-3800080","",""
"276","exp-cap transfer-to non-residents-provincial and territorial general governments-3800080","",""
"277","exp-interest on debt-provincial and territorial general governments-3800080","",""
"278","exp-general governments surplus or deficit-provincial and territorial general governments-3800080","",""
"279","exp-plus: consumption of fixed capital-provincial and territorial general governments-3800080","",""
"280","exp-less: non-financial capital acquisition-provincial and territorial general governments-3800080","",""
"281","exp-fixed capital-provincial and territorial general governments-3800080","",""
"282","exp-new capital-provincial and territorial general governments-3800080","",""
"283","exp-existing capital-provincial and territorial general governments-3800080","",""
"284","exp-equals: net lending or net borrowing-provincial and territorial general governments-3800080","",""
"285","rev-general governments revenue-local general governments-3800080","",""
"286","rev-taxes on production and imports-local general governments-3800080","",""
"287","rev-taxes on production-local general governments-3800080","",""
"288","rev-licences-local general governments-3800080","",""
"289","rev-real property taxes-local general governments-3800080","",""
"290","rev-business taxes-local general governments-3800080","",""
"291","rev-developers' fees-local general governments-3800080","",""
"292","rev-other local taxes on production-local general governments-3800080","",""
"293","rev-taxes on products-local general governments-3800080","",""
"294","rev-deed transfer tax-local general governments-3800080","",""
"295","rev-sales taxes-local general governments-3800080","",""
"296","rev-amusement taxes-local general governments-3800080","",""
"297","rev-other current transfers from households-local general governments-3800080","",""
"298","rev-current transfers from non-profit institutions serving households-local general governments-3800080","",""
"299","rev-current transfers from general governments-local general governments-3800080","",""
"300","rev-from federal general government-local general governments-3800080","",""
"301","rev-from provincial and territorial general governments-local general governments-3800080","",""
"302","rev-from provincial administration-local general governments-3800080","",""
"303","rev-from provincial education-local general governments-3800080","",""
"304","rev-from provincial health and social services-local general governments-3800080","",""
"305","rev-from aboriginal general governments-local general governments-3800080","",""
"306","rev-investment income-local general governments-3800080","",""
"307","rev-interest and other investment income-local general governments-3800080","",""
"308","rev-remitted profits of government business enterprises-local general governments-3800080","",""
"309","rev-sales of goods and services-local general governments-3800080","",""
"310","rev-capital transfers-local general governments-3800080","",""
"311","rev-cap transfer-from households-local general governments-3800080","",""
"312","rev-cap transfer-from non-profit institutions serving households-local general governments-3800080","",""
"313","rev-cap transfer-from business-local general governments-3800080","",""
"314","rev-cap transfer-from general governments-local general governments-3800080","",""
"315","rev-cap transfer-from federal general government-local general governments-3800080","",""
"316","rev-cap transfer-from provincial and territorial general governments-local general governments-3800080","",""
"317","rev-cap transfer-from provincial administration-local general governments-3800080","",""
"318","rev-cap transfer-from provincial education-local general governments-3800080","",""
"319","rev-cap transfer-from provincial health and social services-local general governments-3800080","",""
"320","rev-cap transfer-from aboriginal general governments-local general governments-3800080","",""
"321","exp-general governments expenditure-local general governments-3800080","",""
"322","exp-final expenditure on goods and services-local general governments-3800080","",""
"323","exp-municipalities-local general governments-3800080","",""
"324","exp-schools-local general governments-3800080","",""
"325","exp-current transfers to households-local general governments-3800080","",""
"326","exp-social assistance-local general governments-3800080","",""
"327","exp-other current transfers to households-local general governments-3800080","",""
"328","exp-current transfers to non-profit institutions serving households-local general governments-3800080","",""
"329","exp-subsidies-local general governments-3800080","",""
"330","exp-subsidies on products and imports-local general governments-3800080","",""
"331","exp-subsidies on production-local general governments-3800080","",""
"332","exp-current transfers to general governments-local general governments-3800080","",""
"333","exp-to federal general government-local general governments-3800080","",""
"334","exp-to provincial and territorial general governments-local general governments-3800080","",""
"335","exp-to provincial and territorial administration-local general governments-3800080","",""
"336","exp-to provincial and territorial education-local general governments-3800080","",""
"337","exp-to provincial health and social services-local general governments-3800080","",""
"338","exp-to aboriginal general governments-local general governments-3800080","",""
"339","exp-current transfers to non-residents-local general governments-3800080","",""
"340","exp-capital transfers-local general governments-3800080","",""
"341","exp-cap transfer-to households-local general governments-3800080","",""
"342","exp-cap transfer-to non-profit institutions serving households-local general governments-3800080","",""
"343","exp-cap transfer-to business-local general governments-3800080","",""
"344","exp-cap transfer-to general governments-local general governments-3800080","",""
"345","exp-cap transfer-to federal general government-local general governments-3800080","",""
"346","exp-cap transfer-to provincial and territorial general governments-local general governments-3800080","",""
"347","exp-cap transfer-to provincial administration-local general governments-3800080","",""
"348","exp-cap transfer-to provincial education-local general governments-3800080","",""
"349","exp-cap transfer-to provincial health and social services-local general governments-3800080","",""
"350","exp-cap transfer-to aboriginal general governments-local general governments-3800080","",""
"351","exp-cap transfer-to non-residents-local general governments-3800080","",""
"352","exp-interest on debt-local general governments-3800080","",""
"353","exp-general governments surplus or deficit-local general governments-3800080","",""
"354","exp-plus: consumption of fixed capital-local general governments-3800080","",""
"355","exp-less: non-financial capital acquisition-local general governments-3800080","",""
"356","exp-fixed capital-local general governments-3800080","",""
"357","exp-new capital-local general governments-3800080","",""
"358","exp-existing capital-local general governments-3800080","",""
"359","exp-equals: net lending or net borrowing-local general governments-3800080","",""
"360","rev-general governments revenue-aboriginal general governments-3800080","",""
"361","rev-taxes on incomes-aboriginal general governments-3800080","",""
"362","rev-tax-from households-aboriginal general governments-3800080","",""
"363","rev-income taxes-aboriginal general governments-3800080","",""
"364","rev-wealth transfer taxes-aboriginal general governments-3800080","",""
"365","rev-from corporations and government business enterprises-aboriginal general governments-3800080","",""
"366","rev-contributions to social insurance plans-aboriginal general governments-3800080","",""
"367","rev-taxes on production and imports-aboriginal general governments-3800080","",""
"368","rev-taxes on production-aboriginal general governments-3800080","",""
"369","rev-taxes on products-aboriginal general governments-3800080","",""
"370","rev-other current transfers from households-aboriginal general governments-3800080","",""
"371","rev-current transfers from non-profit institutions serving households-aboriginal general governments-3800080","",""
"372","rev-current transfers from general governments-aboriginal general governments-3800080","",""
"373","rev-from federal general government-aboriginal general governments-3800080","",""
"374","rev-from provincial and territorial general governments-aboriginal general governments-3800080","",""
"375","rev-from local general governments-aboriginal general governments-3800080","",""
"376","rev-investment income-aboriginal general governments-3800080","",""
"377","rev-sales of goods and services-aboriginal general governments-3800080","",""
"378","rev-capital transfers-aboriginal general governments-3800080","",""
"379","rev-cap transfer-from households-aboriginal general governments-3800080","",""
"380","rev-cap transfer-from non-profit institutions serving households-aboriginal general governments-3800080","",""
"381","rev-cap transfer-from business-aboriginal general governments-3800080","",""
"382","rev-cap transfer-from general governments-aboriginal general governments-3800080","",""
"383","rev-cap transfer-from federal general government-aboriginal general governments-3800080","",""
"384","rev-cap transfer-from provincial and territorial general governments-aboriginal general governments-3800080","",""
"385","rev-cap transfer-from local general governments-aboriginal general governments-3800080","",""
"386","exp-general governments expenditure-aboriginal general governments-3800080","",""
"387","exp-final expenditure on goods and services-aboriginal general governments-3800080","",""
"388","exp-current transfers to households-aboriginal general governments-3800080","",""
"389","exp-current transfers to non-profit institutions serving households-aboriginal general governments-3800080","",""
"390","exp-subsidies-aboriginal general governments-3800080","",""
"391","exp-subsidies on products and imports-aboriginal general governments-3800080","",""
"392","exp-subsidies on production-aboriginal general governments-3800080","",""
"393","exp-current transfers to general governments-aboriginal general governments-3800080","",""
"394","exp-to federal general government-aboriginal general governments-3800080","",""
"395","exp-to provincial and territorial general governments-aboriginal general governments-3800080","",""
"396","exp-to local general governments-aboriginal general governments-3800080","",""
"397","exp-current transfers to non-residents-aboriginal general governments-3800080","",""
"398","exp-capital transfers-aboriginal general governments-3800080","",""
"399","exp-cap transfer-to households-aboriginal general governments-3800080","",""
"400","exp-cap transfer-to non-profit institutions serving households-aboriginal general governments-3800080","",""
"401","exp-cap transfer-to business-aboriginal general governments-3800080","",""
"402","exp-cap transfer-to general governments-aboriginal general governments-3800080","",""
"403","exp-cap transfer-to federal general government-aboriginal general governments-3800080","",""
"404","exp-cap transfer-to provincial and territorial general governments-aboriginal general governments-3800080","",""
"405","exp-cap transfer-to local general governments-aboriginal general governments-3800080","",""
"406","exp-cap transfer-to non-residents-aboriginal general governments-3800080","",""
"407","exp-interest on debt-aboriginal general governments-3800080","",""
"408","exp-general governments surplus or deficit-aboriginal general governments-3800080","",""
"409","exp-plus: consumption of fixed capital-aboriginal general governments-3800080","",""
"410","exp-less: non-financial capital acquisition-aboriginal general governments-3800080","",""
"411","exp-fixed capital-aboriginal general governments-3800080","",""
"412","exp-new capital-aboriginal general governments-3800080","",""
"413","exp-existing capital-aboriginal general governments-3800080","",""
"414","exp-equals: net lending or net borrowing-aboriginal general governments-3800080","",""
"415","rev-general governments revenue-canada pension plan-3800080","",""
"416","rev-contributions to social insurance plans-canada pension plan-3800080","",""
"417","rev-investment income-canada pension plan-3800080","",""
"418","exp-general governments expenditure-canada pension plan-3800080","",""
"419","exp-final expenditure on goods and services-canada pension plan-3800080","",""
"420","exp-current transfers to households-canada pension plan-3800080","",""
"421","exp-current transfers to non-residents-canada pension plan-3800080","",""
"422","exp-general governments surplus or deficit-canada pension plan-3800080","",""
"423","rev-general governments revenue-quebec pension plan-3800080","",""
"424","rev-contributions to social insurance plans-quebec pension plan-3800080","",""
"425","rev-investment income-quebec pension plan-3800080","",""
"426","exp-general governments expenditure-quebec pension plan-3800080","",""
"427","exp-final expenditure on goods and services-quebec pension plan-3800080","",""
"428","exp-current transfers to households-quebec pension plan-3800080","",""
"429","exp-general governments surplus or deficit-quebec pension plan-3800080","",""
"430","exp-to provincial health and social services-federal general government-3800080","",""
"431","gross domestic product (gdp) at basic prices-3790031-chained (2012) dollars","",""
"432","service-producing industries-gross domestic product (gdp) at basic prices-3790031-chained (2012) dollars","",""
"433","industrial production-gross domestic product (gdp) at basic prices-3790031-chained (2012) dollars","",""
"434","gross domestic product (gdp) at basic prices-3790031-2012 constant prices","",""
"435","industrial product price index-3290077","",""
"436","rev-sales taxes-federal general government-3800080","",""
"437","exp-military veterans' benefits-federal general government-3800080","",""
"438","exp-inventories-provincial and territorial general governments-3800080","",""
"439","exp-agricultural insurance premiums-local general governments-3800080","",""
"440","rev-excise taxes-local general governments-3800080","",""
"441","exp-meals and hotels taxes-local general governments-3800080","",""
"442","exp-other excise taxes-local general governments-3800080","",""
"443","exp-inventories-local general governments-3800080","",""
"444","exp-inventories-aboriginal general governments-3800080","",""
"445","exp-interest on debt-canada pension plan-3800080","",""
"446","retail services price index-3320024","",""
"447","electric power selling price index-electric power selling price over 5000kw-3290079","PELEC_COM",""
"448","electric power selling price index-electric power selling price under 5000kw-3290079","PELEC_RES",""
"449","wholesale services price index-3320029","",""
"450","exp-canada child benefit-federal general government-3800080","",""
"451","new housing price index-total (house and land)-3270056","PH",""
"452","prime corporate paper rate: 3 month-1760043","RSH",""
"453","chartered bank administered interest rates - prime rate-1760043","",""
"454","chartered bank - consumer loan rate-1760043","RCON",""
"455","selected government of canada benchmark bond yields: 10 years-1760043","RLG",""
"456","chartered banks-non-mortgage loans, call and other short loans to investment dealers and brokers-1760074","",""
"457","chartered banks-non-mortgage loans, to canadian federal government, provinces, municipalities, or school corporations-1760074","",""
"458","chartered banks-non-mortgage loans, to individuals for non-business purposes, total personal loans-1760074","LNPE",""
"459","chartered banks-non-mortgage loans, to individuals and others for business purposes, total loans to canadian resident non-financial business-1760074","",""
"460","wholesale trade-0810012","",""
"461","value of inventory change-0020009","",""
"462","population estimates on july 1st-65 years and over-0510001","POP65",""
"463","population estimates on july 1st-15 to 19 years-0510001","POP1519",""
"464","population estimates on july 1st-60 to 64 years-0510001","POP6064",""
"465","population estimates on july 1st-0 to 14 years-0510001","POP14",""
"466","population estimates on july 1st-15 to 64 years-0510001","POP1564",""
"467","capital and repair expenditures-capital expenditures-0290009","",""
"468","capital and repair expenditures-capital, construction-0290009","",""
"469","capital and repair expenditures-capital, machinery and equipment-0290009","",""
"470","investment-total assets-0310002-current prices","",""
"471","investment-building-0310002-current prices","",""
"472","investment-engineering-0310002-current prices","",""
"473","investment-machinery and equipment-0310002-current prices","",""
"474","geometric (infinite) depreciation-total assets-0310002-current prices","",""
"475","geometric (infinite) depreciation-building-0310002-current prices","",""
"476","geometric (infinite) depreciation-engineering-0310002-current prices","",""
"477","geometric (infinite) depreciation-machinery and equipment-0310002-current prices","",""
"478","geometric (infinite) end-year net stock-total assets-0310002-current prices","",""
"479","geometric (infinite) end-year net stock-building-0310002-current prices","",""
